,Player,Team,2021-22 Salary
0,Stephen Curry,GSW,"$45,780,966"
1,John Wall,HOU,"$44,310,840"
2,Russell Westbrook,LAL,"$44,211,146"
3,James Harden,BRK,"$43,848,000"
4,LeBron James,LAL,"$41,180,544"
5,Kevin Durant,BRK,"$40,918,900"
6,Giannis Antetokounmpo,MIL,"$39,344,970"
7,Paul George,LAC,"$39,344,970"
8,Damian Lillard,POR,"$39,344,900"
9,Kawhi Leonard,LAC,"$39,344,900"
10,Klay Thompson,GSW,"$37,980,720"
11,Jimmy Butler,MIA,"$36,016,200"
12,Tobias Harris,PHI,"$36,000,000"
13,Khris Middleton,MIL,"$35,500,000"
14,Anthony Davis,LAL,"$35,361,360"
15,Rudy Gobert,UTA,"$35,344,828"
16,Kyrie Irving,BRK,"$34,916,200"
17,Bradley Beal,WAS,"$34,502,130"
18,Kristaps Porziņģis,DAL,"$31,650,600"
19,Devin Booker,PHO,"$31,610,000"
21,Player,Tm,2021-22
22,Karl-Anthony Towns,MIN,"$31,610,000"
23,Ben Simmons,PHI,"$31,590,000"
24,Jamal Murray,DEN,"$31,590,000"
25,Joel Embiid,PHI,"$31,579,390"
26,Andrew Wiggins,GSW,"$31,579,390"
27,Pascal Siakam,TOR,"$31,320,000"
28,Kevin Love,CLE,"$31,300,000"
29,CJ McCollum,POR,"$30,864,198"
30,Chris Paul,PHO,"$30,800,000"
31,Nikola Jokić,DEN,"$30,510,423"
32,Jrue Holiday,MIL,"$30,133,333"
33,D'Angelo Russell,MIN,"$30,013,500"
34,Gordon Hayward,CHO,"$29,900,000"
35,Blake Griffin,DET,"$32,405,817"
36,Brandon Ingram,NOP,"$29,467,800"
37,De'Aaron Fox,SAC,"$28,103,550"
38,Bam Adebayo,MIA,"$28,103,550"
39,Donovan Mitchell,UTA,"$28,103,550"
40,Jayson Tatum,BOS,"$28,103,550"
41,Al Horford,BOS,"$27,000,000"
44,Kyle Lowry,MIA,"$26,984,128"
45,DeMar DeRozan,CHI,"$26,984,127"
46,Kemba Walker,OKC,"$8,729,020"
47,Jaylen Brown,BOS,"$24,830,357"
48,Draymond Green,GSW,"$24,026,712"
49,Nikola Vučević,CHI,"$24,000,000"
50,John Collins,ATL,"$23,000,000"
51,Buddy Hield,SAC,"$22,477,273"
52,Malcolm Brogdon,IND,"$21,700,000"
53,Tim Hardaway Jr.,DAL,"$21,306,816"
54,Mike Conley,UTA,"$21,000,000"
55,Gary Harris,ORL,"$20,482,143"
56,Danilo Gallinari,ATL,"$20,475,000"
57,Harrison Barnes,SAC,"$20,284,091"
58,Jarrett Allen,CLE,"$20,000,000"
59,Jerami Grant,DET,"$20,000,000"
60,Julius Randle,NYK,"$19,800,000"
61,Lonzo Ball,CHI,"$19,767,442"
62,Fred VanVleet,TOR,"$19,675,926"
63,Zach LaVine,CHI,"$19,500,000"
66,Goran Dragić,TOR,"$19,440,000"
67,Bojan Bogdanović,UTA,"$18,700,000"
68,Domantas Sabonis,IND,"$18,562,500"
69,Eric Gordon,HOU,"$18,218,818"
70,Evan Fournier,NYK,"$18,139,535"
71,Eric Bledsoe,LAC,"$18,125,000"
72,Myles Turner,IND,"$18,000,000"
73,Bogdan Bogdanović,ATL,"$18,000,000"
74,Terry Rozier,CHO,"$17,905,263"
75,Ricky Rubio,CLE,"$17,809,524"
76,Caris LeVert,IND,"$17,500,000"
77,Jonathan Isaac,ORL,"$17,400,000"
78,Joe Harris,BRK,"$17,357,143"
79,Spencer Dinwiddie,WAS,"$17,142,857"
80,Clint Capela,ATL,"$17,103,448"
81,Steven Adams,MEM,"$17,073,171"
82,Markelle Fultz,ORL,"$16,500,000"
83,Aaron Gordon,DEN,"$16,409,091"
84,OG Anunoby,TOR,"$16,071,429"
85,Dāvis Bertāns,WAS,"$16,000,000"
88,Gary Trent Jr.,TOR,"$16,000,000"
89,Lauri Markkanen,CLE,"$15,690,909"
90,Marcus Morris,LAC,"$15,627,907"
91,Duncan Robinson,MIA,"$15,560,000"
92,Norman Powell,POR,"$15,517,242"
93,Dejounte Murray,SAS,"$15,428,571"
94,Will Barton,DEN,"$15,384,615"
95,Derrick White,SAS,"$15,178,571"
96,Taurean Prince,MIN,"$15,057,692"
97,Malik Beasley,MIN,"$14,391,964"
98,Marcus Smart,BOS,"$14,339,285"
99,Patrick Beverley,MIN,"$14,320,988"
100,Thaddeus Young,SAS,"$14,190,000"
101,Jonas Valančiūnas,NOP,"$14,000,000"
102,Joe Ingles,UTA,"$14,000,000"
103,Doug McDermott,SAS,"$13,750,000"
104,Christian Wood,HOU,"$13,666,667"
105,Derrick Rose,NYK,"$13,445,120"
106,Brook Lopez,MIL,"$13,302,325"
107,Kentavious Caldwell-Pope,WAS,"$13,038,862"
110,Kyle Kuzma,WAS,"$13,000,000"
111,Robert Covington,POR,"$12,975,471"
112,Luke Kennard,LAC,"$12,727,273"
113,T.J. Warren,IND,"$12,690,000"
114,Deandre Ayton,PHO,"$12,632,950"
115,Terrence Ross,ORL,"$12,500,000"
116,Jordan Clarkson,UTA,"$12,420,000"
